id,title,description,price,language,url,full_text,category
289686,Курс «Эпоха дворцовых переворотов в истории России»,"Восемнадцатый век в истории России – это период, который превратил
наше государство в империю, трансформировал административное
устройство и социальную структуру, способствовал появлению светской
культуры и изменил позиции России в международных отношениях.
Подчеркивая новизну процессов, происходящих в это время, Ю. М. Лотман
писал: «Однако XVIII век не любил исхоженных дорог: век был слишком
молодым, дюжинные пути еще не сложились». ",,ru,https://stepik.org/course/289686,"Курс «Эпоха дворцовых переворотов в истории России» Восемнадцатый век в истории России – это период, который превратил
наше государство в империю, трансформировал административное
устройство и социальную структуру, способствовал появлению светской
культуры и изменил позиции России в международных отношениях.
Подчеркивая новизну процессов, происходящих в это время, Ю. М. Лотман
писал: «Однако XVIII век не любил исхоженных дорог: век был слишком
молодым, дюжинные пути еще не сложились». ",Other
289682,Курс«История России в конце XIX - начале XX века: углубленный»,"Данный курс предназначен для углубленного изучения ключевого периода в истории России, охватывающего последние десятилетия XIX века и начало XX века, вплоть до Февральской революции 1917 года. 

В рамках курса будет произведен детальный анализ социально-экономических, политических и культурных процессов, предопределивших трагический ход российской истории. ",,ru,https://stepik.org/course/289682,"Курс«История России в конце XIX - начале XX века: углубленный» Данный курс предназначен для углубленного изучения ключевого периода в истории России, охватывающего последние десятилетия XIX века и начало XX века, вплоть до Февральской революции 1917 года. 

В рамках курса будет произведен детальный анализ социально-экономических, политических и культурных процессов, предопределивших трагический ход российской истории. ",Other
289674,8 ошибок которые мешают твоим игрокам расти,"Название:
8 ошибок которые мешают твоим игрокам расти

Описание:
За 10 лет тренерской работы — от детских 
команд до профессионального баскетбола — 
я видел одни и те же ошибки снова и снова.

Этот курс не про теорию. Это разбор 
реальных проблем которые происходят 
на каждой тренировке — и конкретные 
решения для каждой из них.

Ты узнаешь:
— Почему drill без цели — потраченное время
— Как работать с разными типами игроков
— Как выстроить тренировку которая реально работает
— Как строить авторитет без крик",,ru,https://stepik.org/course/289674,"8 ошибок которые мешают твоим игрокам расти Название:
8 ошибок которые мешают твоим игрокам расти

Описание:
За 10 лет тренерской работы — от детских 
команд до профессионального баскетбола — 
я видел одни и те же ошибки снова и снова.

Этот курс не про теорию. Это разбор 
реальных проблем которые происходят 
на каждой тренировке — и конкретные 
решения для каждой из них.

Ты узнаешь:
— Почему drill без цели — потраченное время
— Как работать с разными типами игроков
— Как выстроить тренировку которая реально работает
— Как строить авторитет без крик",Other
289649,Golang: 1046 реальных задач с собесов,to be updated,100.0,ru,https://stepik.org/course/289649,Golang: 1046 реальных задач с собесов to be updated,Go
289628,Мир вокруг меня - курс по английскому языку,"Игровой онлайн-курс по английскому для 3 класса. Учимся описывать свой мир: комнату, школу, друзей, погоду и животных. Вместе с героиней Эмили. Без скуки и зубрёжки!",,ru,https://stepik.org/course/289628,"Мир вокруг меня - курс по английскому языку Игровой онлайн-курс по английскому для 3 класса. Учимся описывать свой мир: комнату, школу, друзей, погоду и животных. Вместе с героиней Эмили. Без скуки и зубрёжки!",Other
289616,Онлайн-академия преподавателей,"Здесь вы можете ознакомиться с материалами и проверить свои знания. Этот курс будет вам очень полезен, так как благодаря нему вы сможете работать",,ru,https://stepik.org/course/289616,"Онлайн-академия преподавателей Здесь вы можете ознакомиться с материалами и проверить свои знания. Этот курс будет вам очень полезен, так как благодаря нему вы сможете работать",Other
289612,Python для начинающих,"Курс предназначен для заинтересованных в изучении языка программирования Python с самого нуля и до уверенного уровня, позволяющего создавать собственные скрипты, обрабатывать данные и автоматизировать рутинные задачи.",,ru,https://stepik.org/course/289612,"Python для начинающих Курс предназначен для заинтересованных в изучении языка программирования Python с самого нуля и до уверенного уровня, позволяющего создавать собственные скрипты, обрабатывать данные и автоматизировать рутинные задачи.",Python
289586,'Основы Python: первые шаги,"Курс «Основы Python для новичков» — ваш легкий старт в программировании. Python — самый популярный и понятный язык в мире, который используют в веб-разработке, анализе данных и создании нейросетей.Курс создан для абсолютных новичков без опыта в IT. Обучение построено на практике: минимум скучной теории и максимум реальных задач. Благодаря автоматическому тренажеру Stepik, вы будете писать код прямо в браузере и мгновенно получать проверку. Вы освоите синтаксис, переменные, циклы и списки. Начните учиться.",,ru,https://stepik.org/course/289586,"'Основы Python: первые шаги Курс «Основы Python для новичков» — ваш легкий старт в программировании. Python — самый популярный и понятный язык в мире, который используют в веб-разработке, анализе данных и создании нейросетей.Курс создан для абсолютных новичков без опыта в IT. Обучение построено на практике: минимум скучной теории и максимум реальных задач. Благодаря автоматическому тренажеру Stepik, вы будете писать код прямо в браузере и мгновенно получать проверку. Вы освоите синтаксис, переменные, циклы и списки. Начните учиться.",Python
289576,Интерактивный лабораторный практикум по VR,"Интерактивный лабораторный практикум представляет собой цикл из шести занятий, ориентированный на поэтапное освоение среды Varwin Education, а также визуального программирования интерактивного поведения объектов в виртуальной реальности.",,ru,https://stepik.org/course/289576,"Интерактивный лабораторный практикум по VR Интерактивный лабораторный практикум представляет собой цикл из шести занятий, ориентированный на поэтапное освоение среды Varwin Education, а также визуального программирования интерактивного поведения объектов в виртуальной реальности.",Other
289575,Meme English: учись с юмором,"Hey, buddy! 👋
Этот курс — Memes English: учим английский через мемы, рилсы, TikTok, стендапы и интернет-сленг. Забудь скучные учебники — здесь реальный английский, как его используют в интернете",,ru,https://stepik.org/course/289575,"Meme English: учись с юмором Hey, buddy! 👋
Этот курс — Memes English: учим английский через мемы, рилсы, TikTok, стендапы и интернет-сленг. Забудь скучные учебники — здесь реальный английский, как его используют в интернете",English
