id,title,description,price,language,url
289649,Golang: 1046 реальных задач с собесов,to be updated,100.00,ru,https://stepik.org/course/289649
289616,Онлайн-академия преподавателей,"Здесь вы можете ознакомиться с материалами и проверить свои знания. Этот курс будет вам очень полезен, так как благодаря нему вы сможете работать",,ru,https://stepik.org/course/289616
289586,'Основы Python: первые шаги,"Курс «Основы Python для новичков» — ваш легкий старт в программировании. Python — самый популярный и понятный язык в мире, который используют в веб-разработке, анализе данных и создании нейросетей.Курс создан для абсолютных новичков без опыта в IT. Обучение построено на практике: минимум скучной теории и максимум реальных задач. Благодаря автоматическому тренажеру Stepik, вы будете писать код прямо в браузере и мгновенно получать проверку. Вы освоите синтаксис, переменные, циклы и списки. Начните учиться.",,ru,https://stepik.org/course/289586
289576,Интерактивный лабораторный практикум по VR,"Интерактивный лабораторный практикум представляет собой цикл из шести занятий, ориентированный на поэтапное освоение среды Varwin Education, а также визуального программирования интерактивного поведения объектов в виртуальной реальности.",,ru,https://stepik.org/course/289576
289575,Meme English: учись с юмором,"Hey, buddy! 👋
Этот курс — Memes English: учим английский через мемы, рилсы, TikTok, стендапы и интернет-сленг. Забудь скучные учебники — здесь реальный английский, как его используют в интернете",,ru,https://stepik.org/course/289575
289562,Проектирование ЦОР в деятельности инструктора по физической куль,"Курс знакомит с проектированием цифрового образовательного ресурса (ЦОР) для диагностики, планирования и анализа физического развития дошкольников. Вы изучите три блока: диагностический (тесты, видеофиксация), контентный (библиотека упражнений) и аналитический (автоотчеты). Практический результат — готовый прототип ЦОР для работы с детьми 3–7 лет.",,ru,https://stepik.org/course/289562
289559,Поэтика заглавий,"Курс познакомит вас с поэтикой заглавий: вы узнаете, как название из простой «шапки» превратилось в мощный литературный инструмент, научитесь различать типы заглавий (символы, цитаты, жанровые и описательные) и анализировать их функции.",,ru,https://stepik.org/course/289559
289534,Репост как правонарушение,"Курс о том, как обычный репост в соцсети может привести к штрафу или уголовному делу. Вы узнаете, чем репост отличается от личного мнения, какие статьи закона за него наказывают, и как быстро оценить риск. Минимум воды — только нужная информация и примеры.",,ru,https://stepik.org/course/289534
289522,Основы информационной безопасности для начинающих,"По окончании курса слушатель будет обладать базовыми навыками защиты личных данных и учётных записей, а также сможет уверенно использовать основные инструменты и методы информационной безопасности при работе в интернете.",,ru,https://stepik.org/course/289522
289516,Базовое обучение TRAFFIC,"Обучение составлено для сотрудников компании Traffic. Не является коммерческим продуктом, используется строго для внутреннего обучения",,ru,https://stepik.org/course/289516
